far, high, below, narrow, enemy,,
Agent Skill,,,,,,
0,1,1,1,1,,
Blocks Feature Counts Over Time,,,,,,
4,3,12,9,11,15,0.266666667
7,5,8,14,12,17,0.411764706
8,9,11,15,16,22,0.363636364
23,32,62,63,65,100,0.23
3,1,0,3,3,4,0.75
9,13,30,28,35,47,0.191489362
5,4,9,9,9,13,0.384615385
1,0,0,0,1,1,0.5
9,11,26,25,24,41,0.219512195
15,8,23,22,25,36,0.416666667
1,0,0,1,1,1,0.5
9,9,18,15,20,29,0.310344828
2,1,2,2,3,3,0.666666667
1,0,0,1,0,1,0.5
1,0,1,1,1,1,0.5
5,5,10,14,12,16,0.3125
1,0,0,0,0,1,0.5
13,16,33,41,32,56,0.232142857
22,27,55,59,56,87,0.252873563
3,1,1,4,2,4,0.75
2,1,1,2,1,3,0.666666667
2,1,4,4,3,5,0.4
4,0,3,2,4,4,0.5
1,0,1,1,1,1,0.5
2,0,2,3,2,3,0.666666667
10,8,25,27,26,38,0.263157895
2,0,3,3,3,3,0.666666667
1,0,1,0,1,1,0.5
2,0,0,2,1,2,0.5
6,14,28,29,25,43,0.139534884
4,0,8,7,5,9,0.444444444
7,9,31,25,28,43,0.162790698
2,0,3,2,1,3,0.666666667
2,4,8,5,8,13,0.153846154
5,5,16,14,15,22,0.227272727
3,2,4,6,4,7,0.428571429
1,0,1,1,0,1,0.5
3,1,5,6,7,7,0.428571429
4,0,3,2,3,4,0.5
5,4,18,15,16,22,0.227272727
6,15,30,34,29,48,0.125
5,3,8,7,8,11,0.454545455
1,0,1,0,1,1,0.5
1,0,0,1,0,1,0.5
2,0,1,0,2,2,0.5
6,4,10,11,11,16,0.375
1,0,0,1,0,1,0.5
3,1,4,5,4,6,0.5
2,0,3,3,3,3,0.666666667
2,4,4,8,6,9,0.222222222
14,13,36,35,34,54,0.259259259
1,0,1,0,0,1,0.5
1,0,0,1,1,1,0.5
5,5,9,11,12,17,0.294117647
5,2,11,8,9,15,0.333333333
4,3,8,6,8,13,0.307692308
10,11,29,27,23,46,0.217391304
6,13,19,20,23,33,0.181818182
2,2,6,8,6,8,0.25
12,18,37,43,39,60,0.2
21,8,50,39,39,65,0.323076923
8,26,39,47,50,68,0.117647059
7,6,16,15,13,24,0.291666667
4,3,6,4,6,10,0.4
1,0,1,0,1,1,0.5
6,13,17,20,25,33,0.181818182
3,6,18,13,14,24,0.125
5,13,14,25,17,29,0.172413793
4,1,11,10,9,14,0.285714286
4,10,24,27,21,36,0.111111111
2,0,1,2,2,2,0.5
5,9,11,13,15,22,0.227272727
2,3,9,11,9,12,0.166666667
2,0,2,0,1,2,0.5
7,7,28,28,20,37,0.189189189
7,12,24,28,26,40,0.175
5,2,5,4,6,10,0.5
9,6,25,18,16,34,0.264705882
8,9,14,16,16,26,0.307692308
5,4,6,6,10,13,0.384615385
1,0,0,1,0,1,0.5
1,0,1,1,0,1,0.5
3,1,5,2,5,7,0.428571429
1,0,0,1,1,1,0.5
2,1,3,1,3,4,0.5
11,10,31,23,26,42,0.261904762
7,14,44,33,41,61,0.114754098
7,3,14,12,10,18,0.388888889
4,7,11,11,12,21,0.19047619
14,12,18,31,32,39,0.358974359
1,0,1,1,1,1,0.5
2,2,4,3,4,7,0.285714286
13,11,33,30,31,51,0.254901961
2,1,2,2,4,4,0.5
2,3,4,4,7,8,0.25
5,8,17,18,16,28,0.178571429
14,11,59,56,47,75,0.186666667
1,0,1,0,1,1,0.5
9,13,32,25,29,49,0.183673469
4,6,11,7,10,18,0.222222222
3,3,10,8,10,14,0.214285714
1,0,0,1,1,1,0.5
1,0,1,1,1,1,0.5
5,4,17,15,17,22,0.227272727
1,0,0,0,1,1,0.5
1,0,1,1,1,1,0.5
3,6,11,12,9,18,0.166666667
5,10,17,16,21,28,0.178571429
19,15,41,33,36,63,0.301587302
2,2,3,4,3,5,0.4
5,2,7,6,6,12,0.416666667
5,4,13,13,13,19,0.263157895
1,0,1,1,1,1,0.5
1,0,0,1,1,1,0.5
3,0,4,3,4,5,0.6
1,0,1,0,0,1,0.5
1,0,1,1,1,1,0.5
2,0,1,0,2,2,0.5
2,0,4,2,3,4,0.5
