far, high, below, narrow, enemy,,
Agent Skill,,,,,,
0,1,1,1,1,,
Blocks Feature Counts Over Time,,,,,,
3,2,7,4,3,9,0.333333333
2,3,5,5,4,8,0.25
1,0,0,1,1,1,0.5
1,0,0,0,1,1,0.5
1,0,1,1,0,1,0.5
19,16,39,43,41,60,0.316666667
7,8,21,22,18,33,0.212121212
4,4,6,8,9,12,0.333333333
4,1,9,9,4,10,0.4
4,7,12,13,11,21,0.19047619
13,10,34,33,34,48,0.270833333
3,7,10,11,10,17,0.176470588
4,0,10,9,6,12,0.333333333
6,6,15,18,16,23,0.260869565
2,1,6,5,3,7,0.285714286
1,0,0,1,0,1,0.5
1,0,1,0,1,1,0.5
4,8,23,19,21,32,0.125
8,7,18,17,17,28,0.285714286
20,28,67,68,70,100,0.2
3,4,15,13,12,21,0.142857143
7,6,12,13,14,19,0.368421053
1,0,1,1,1,1,0.5
4,2,7,6,5,11,0.363636364
2,0,1,2,1,2,0.5
1,0,1,0,1,1,0.5
7,3,7,8,6,13,0.538461538
5,2,6,10,7,11,0.454545455
7,9,14,16,14,23,0.304347826
2,0,11,7,10,11,0.181818182
12,7,17,24,20,31,0.387096774
6,3,11,11,12,17,0.352941176
1,0,1,1,1,1,0.5
2,0,5,5,4,6,0.333333333
3,0,2,2,0,3,0.5
9,12,28,25,26,41,0.219512195
2,1,1,2,1,3,0.666666667
2,0,2,2,1,2,0.5
19,21,48,47,49,73,0.260273973
15,35,58,64,70,100,0.15
2,0,2,1,2,2,0.5
3,3,7,5,5,10,0.3
1,0,0,0,0,1,0.5
11,10,25,26,24,39,0.282051282
1,0,1,1,1,1,0.5
5,4,11,16,7,17,0.294117647
4,6,17,19,14,23,0.173913043
9,10,23,25,26,35,0.257142857
3,1,1,5,2,5,0.6
2,0,5,4,3,5,0.4
7,7,11,13,14,20,0.35
1,0,0,0,1,1,0.5
9,12,26,23,26,40,0.225
5,1,14,10,12,16,0.3125
1,0,0,1,1,1,0.5
4,9,10,11,16,20,0.2
5,1,8,8,5,10,0.5
1,0,0,1,0,1,0.5
3,5,13,16,14,20,0.15
25,29,62,69,66,100,0.25
1,0,0,0,0,1,0.5
14,13,42,36,37,59,0.237288136
1,0,1,0,1,1,0.5
1,0,0,1,1,1,0.5
4,4,5,8,4,11,0.363636364
2,0,4,3,4,4,0.5
18,27,45,53,49,78,0.230769231
1,0,0,1,1,1,0.5
4,2,4,7,4,7,0.571428571
10,25,44,48,47,71,0.14084507
5,1,5,8,4,8,0.625
2,0,4,3,3,4,0.5
6,6,18,16,16,26,0.230769231
3,2,4,6,6,8,0.375
10,11,31,33,30,45,0.222222222
9,10,25,23,22,37,0.243243243
5,4,9,9,9,14,0.357142857
6,7,13,11,16,21,0.285714286
3,0,2,3,2,3,0.5
9,4,17,19,10,24,0.375
4,1,5,5,7,8,0.5
6,11,24,26,26,36,0.166666667
5,5,13,14,11,20,0.25
5,5,10,10,9,17,0.294117647
5,9,24,26,24,36,0.138888889
3,2,5,5,8,9,0.333333333
4,2,13,10,11,16,0.25
2,0,4,4,3,5,0.4
25,28,56,60,59,92,0.27173913
1,0,1,1,1,1,0.5
3,4,11,14,6,15,0.2
10,9,29,27,30,42,0.238095238
4,3,7,9,8,12,0.333333333
11,16,33,32,30,53,0.20754717
11,11,24,24,25,41,0.268292683
10,12,33,32,38,50,0.2
3,2,2,3,5,6,0.5
6,3,12,9,11,18,0.333333333
3,4,10,10,9,15,0.2
1,0,1,1,1,1,0.5
3,6,9,11,12,16,0.1875
11,22,37,50,39,62,0.177419355
1,0,1,0,0,1,0.5
10,8,23,28,29,36,0.277777778
15,29,63,60,65,96,0.15625
9,7,22,23,24,31,0.290322581
3,2,5,4,6,8,0.375
1,0,1,1,1,1,0.5
3,0,5,5,5,6,0.5
7,9,27,21,29,39,0.179487179
7,8,15,20,17,27,0.259259259
8,9,19,19,19,31,0.258064516
1,0,0,1,1,1,0.5
2,0,2,1,0,2,0.5
1,0,1,1,1,1,0.5
5,4,16,10,17,23,0.217391304
1,0,1,1,1,1,0.5
6,6,17,12,17,24,0.25
8,10,25,27,26,38,0.210526316
3,2,5,6,8,8,0.375
4,1,8,7,8,10,0.4
2,3,5,8,7,10,0.2
3,1,6,5,5,7,0.428571429
1,0,1,1,1,1,0.5
2,0,6,5,4,7,0.285714286
6,1,13,12,10,15,0.4
4,0,4,3,4,7,0.571428571
2,2,6,8,8,9,0.222222222
2,3,2,2,4,6,0.333333333
5,4,8,10,12,14,0.357142857
1,0,1,0,1,1,0.5
3,5,14,10,16,21,0.142857143
8,5,16,13,12,21,0.380952381
3,1,6,4,5,7,0.428571429
2,4,5,6,7,10,0.2
1,0,1,0,1,1,0.5
6,5,17,15,14,22,0.272727273
3,1,7,3,6,10,0.3
5,7,18,17,17,27,0.185185185
19,25,69,60,58,100,0.19
6,4,18,18,15,24,0.25
2,1,9,7,6,11,0.181818182
6,0,6,6,7,7,0.857142857
1,0,0,1,0,1,0.5
7,5,18,16,16,25,0.28
1,0,1,1,1,1,0.5
2,1,7,2,8,9,0.222222222
7,12,22,26,23,37,0.189189189
2,0,2,0,1,2,0.5
11,19,37,33,35,59,0.186440678
1,0,1,0,1,1,0.5
5,1,2,4,5,6,0.833333333
5,4,12,8,15,18,0.277777778
4,3,2,5,5,7,0.571428571
5,7,24,23,24,32,0.15625
3,3,2,5,5,8,0.375
4,6,24,22,21,31,0.129032258
7,13,24,22,29,38,0.184210526
14,17,36,40,38,60,0.233333333
2,1,1,0,2,3,0.666666667
13,19,33,38,43,57,0.228070175
7,6,14,13,15,22,0.318181818
10,12,18,19,21,32,0.3125
6,6,17,14,12,25,0.24
1,0,0,1,1,1,0.5
1,0,1,1,1,1,0.5
1,0,1,1,0,1,0.5
2,0,1,2,2,2,0.5
1,0,1,1,1,1,0.5
10,14,21,26,23,39,0.256410256
3,1,2,1,2,4,0.75
4,2,4,5,4,7,0.571428571
2,1,7,4,5,8,0.25
5,1,15,13,11,19,0.263157895
1,0,1,0,0,1,0.5
5,5,15,14,11,21,0.238095238
5,13,9,17,17,25,0.2
3,3,11,8,5,14,0.214285714
4,4,8,9,12,13,0.307692308
1,0,0,1,1,1,0.5
2,0,2,1,1,2,0.5
7,4,13,12,9,20,0.35
1,0,0,1,1,1,0.5
16,11,28,28,31,44,0.363636364
7,9,22,15,20,33,0.212121212
1,0,0,0,0,1,0.5
1,0,1,1,1,1,0.5
1,0,1,1,1,1,0.5
1,0,0,1,0,1,0.5
16,17,29,33,31,52,0.307692308
4,4,11,11,8,16,0.25
2,0,1,1,2,3,0.666666667
4,5,19,17,15,28,0.142857143
1,0,1,1,1,1,0.5
1,0,1,0,1,1,0.5
2,1,1,2,3,3,0.666666667
1,0,1,0,0,1,0.5
2,0,2,2,3,3,0.666666667
3,0,6,6,7,8,0.375
3,0,3,1,3,3,0.5
5,2,9,7,8,13,0.384615385
3,3,4,5,7,8,0.375
3,3,15,10,15,19,0.157894737
4,8,3,7,8,14,0.285714286
2,8,18,23,21,28,0.071428571
1,0,1,0,1,1,0.5
1,0,1,1,1,1,0.5
5,0,6,4,5,9,0.555555556
5,2,8,8,11,13,0.384615385
12,21,30,38,33,55,0.218181818
6,9,16,19,20,28,0.214285714
13,14,41,40,33,58,0.224137931
1,0,1,1,1,1,0.5
3,3,8,11,7,13,0.230769231
13,6,27,27,21,40,0.325
4,4,13,12,5,17,0.235294118
3,0,6,5,6,7,0.428571429
7,15,28,29,21,44,0.159090909
1,0,1,0,0,1,0.5
1,0,0,1,0,1,0.5
7,9,29,23,28,39,0.179487179
4,2,9,7,8,11,0.363636364
3,3,6,7,9,11,0.272727273
4,9,22,26,20,33,0.121212121
2,0,2,2,1,2,0.5
1,0,0,0,1,1,0.5
3,3,6,9,8,11,0.272727273
2,2,4,4,5,7,0.285714286
1,0,0,1,1,1,0.5
4,5,20,12,15,25,0.16
14,15,50,51,46,68,0.205882353
5,1,5,5,7,10,0.5
5,3,12,12,12,17,0.294117647
1,0,1,1,0,1,0.5
15,22,44,53,51,72,0.208333333
2,5,7,11,8,13,0.153846154
14,22,53,51,50,80,0.175
12,8,25,24,23,38,0.315789474
2,1,8,5,5,9,0.222222222
8,11,24,23,25,37,0.216216216
3,2,2,3,6,6,0.5
2,0,5,3,3,5,0.4
10,14,46,35,44,65,0.153846154
8,4,13,14,7,19,0.421052632
2,2,2,3,4,4,0.5
2,2,5,6,4,7,0.285714286
1,0,0,1,1,1,0.5
3,0,4,4,3,5,0.6
10,15,37,37,35,53,0.188679245
1,0,0,0,0,1,0.5
10,8,26,23,25,37,0.27027027
11,10,34,32,25,48,0.229166667
2,2,2,3,4,5,0.4
16,9,24,24,31,40,0.4
11,10,25,24,28,38,0.289473684
4,7,17,19,21,26,0.153846154
4,4,7,12,9,14,0.285714286
8,5,27,23,22,35,0.228571429
1,0,1,0,1,1,0.5
6,3,5,9,9,12,0.5
7,7,15,12,14,22,0.318181818
5,7,8,9,9,17,0.294117647
3,1,6,6,7,10,0.3
1,0,1,1,1,1,0.5
3,3,8,7,5,11,0.272727273
6,4,14,17,13,21,0.285714286
4,2,10,10,9,12,0.333333333
3,4,5,9,7,11,0.272727273
3,9,20,25,20,31,0.096774194
2,0,1,1,1,2,0.5
2,2,5,5,4,7,0.285714286
5,5,17,13,15,25,0.2
1,0,1,1,1,1,0.5
1,0,1,0,1,1,0.5
10,8,23,14,26,35,0.285714286
1,0,1,0,0,1,0.5
6,9,32,26,28,41,0.146341463
6,7,10,16,15,20,0.3
5,3,7,12,10,12,0.416666667
1,0,1,1,0,1,0.5
4,1,3,4,4,6,0.666666667
12,7,25,26,28,35,0.342857143
3,7,12,11,14,20,0.15
1,0,0,1,0,1,0.5
8,5,9,11,15,19,0.421052632
7,6,16,16,13,24,0.291666667
1,0,0,0,0,1,0.5
4,1,9,11,9,12,0.333333333
2,0,2,2,2,2,0.5
1,0,0,1,1,1,0.5
1,0,1,1,0,1,0.5
3,0,5,3,4,5,0.6
1,0,0,1,1,1,0.5
2,2,2,3,3,4,0.5
7,2,13,8,12,16,0.4375
1,0,0,0,1,1,0.5
5,0,6,6,5,8,0.625
3,1,4,4,5,6,0.5
2,0,1,3,2,3,0.666666667
3,3,4,6,5,7,0.428571429
5,1,11,11,10,13,0.384615385
2,6,4,9,7,11,0.181818182
5,1,9,9,8,11,0.454545455
1,0,1,1,1,1,0.5
5,5,7,7,6,14,0.357142857
1,0,1,1,0,1,0.5
4,2,5,4,5,7,0.571428571
18,13,58,47,47,75,0.24
3,1,5,5,5,7,0.428571429
1,0,1,1,0,1,0.5
7,4,11,12,13,19,0.368421053
13,21,40,38,50,65,0.2
8,18,29,32,32,50,0.16
4,1,5,6,3,8,0.5
2,0,2,3,2,3,0.666666667
4,11,32,31,34,45,0.088888889
4,3,8,6,8,13,0.307692308
9,9,24,21,24,37,0.243243243
5,3,6,5,6,9,0.555555556
14,18,36,40,39,57,0.245614035
4,2,3,6,6,9,0.444444444
8,13,29,34,27,45,0.177777778
23,27,65,67,59,100,0.23
1,0,0,1,1,1,0.5
2,0,2,2,2,3,0.666666667
9,11,21,19,26,33,0.272727273
2,0,0,0,1,2,0.5
5,5,6,7,6,12,0.416666667
2,1,2,1,1,3,0.666666667
3,0,3,3,5,5,0.6
3,0,3,3,3,4,0.75
1,0,1,1,0,1,0.5
10,8,21,22,24,33,0.303030303
3,4,10,12,13,14,0.214285714
2,0,3,3,3,3,0.666666667
8,9,27,24,23,39,0.205128205
2,1,1,2,2,3,0.666666667
5,5,22,22,22,28,0.178571429
2,4,7,5,5,13,0.153846154
6,3,8,7,9,12,0.5
3,1,5,5,5,6,0.5
8,8,17,21,18,28,0.285714286
7,3,15,13,12,19,0.368421053
6,9,12,18,14,21,0.285714286
1,0,0,1,1,1,0.5
3,3,7,7,8,11,0.272727273
3,1,5,4,5,6,0.5
1,0,0,1,0,1,0.5
5,13,20,20,14,33,0.151515152
6,7,21,15,17,30,0.2
1,0,0,0,0,1,0.5
6,8,8,14,12,19,0.315789474
1,0,1,0,1,1,0.5
4,3,7,8,11,12,0.333333333
4,5,10,12,10,16,0.25
2,0,3,3,3,4,0.5
7,15,36,37,38,53,0.132075472
22,24,68,60,60,100,0.22
5,1,8,5,5,10,0.5
10,17,40,41,37,61,0.163934426
1,0,1,1,1,1,0.5
1,0,1,0,0,1,0.5
4,1,5,5,5,8,0.5
1,0,1,0,1,1,0.5
10,5,23,19,20,31,0.322580645
3,1,7,7,7,9,0.333333333
5,7,27,18,17,34,0.147058824
2,0,2,2,2,2,0.5
2,2,1,2,4,5,0.4
3,5,18,15,16,24,0.125
2,1,3,1,2,4,0.5
1,0,0,1,1,1,0.5
6,5,19,14,20,26,0.230769231
5,3,9,8,8,13,0.384615385
2,0,4,3,4,5,0.4
3,5,3,6,9,10,0.3
11,10,26,30,26,40,0.275
3,8,6,12,10,16,0.1875
1,0,0,1,1,1,0.5
6,1,8,5,11,12,0.5
3,0,6,3,4,7,0.428571429
18,19,67,59,65,92,0.195652174
1,0,1,1,1,1,0.5
7,5,16,10,13,23,0.304347826
10,7,20,18,19,31,0.322580645
3,2,6,5,7,8,0.375
12,6,21,22,22,32,0.375
7,8,18,22,20,30,0.233333333
6,8,19,20,18,30,0.2
7,3,15,12,16,20,0.35
5,10,19,19,22,30,0.166666667
10,19,40,36,39,59,0.169491525
1,0,1,0,0,1,0.5
4,3,7,10,10,12,0.333333333
4,12,13,15,18,26,0.153846154
1,0,1,1,0,1,0.5
1,0,0,0,0,1,0.5
11,12,54,37,42,67,0.164179104
6,1,9,8,7,12,0.5
2,0,1,1,1,2,0.5
7,7,17,13,17,25,0.28
4,2,5,3,7,8,0.5
8,15,24,23,26,41,0.195121951
2,4,8,6,10,13,0.153846154
2,1,3,2,2,4,0.5
8,9,20,20,24,31,0.258064516
8,8,24,23,20,35,0.228571429
4,3,3,5,8,9,0.444444444
2,0,7,6,7,8,0.25
15,19,48,42,40,70,0.214285714
1,0,1,1,0,1,0.5
3,4,1,5,5,7,0.428571429
3,0,5,2,4,5,0.6
1,0,1,1,1,1,0.5
23,20,66,55,60,93,0.247311828
2,0,2,2,1,2,0.5
3,6,9,8,10,15,0.2
8,7,23,22,19,33,0.242424242
2,0,1,1,1,2,0.5
1,0,1,1,1,1,0.5
3,6,4,5,6,11,0.272727273
7,3,12,11,15,16,0.4375
3,3,8,7,8,11,0.272727273
12,10,34,30,38,50,0.24
4,1,10,8,8,11,0.363636364
6,10,17,18,18,28,0.214285714
3,2,4,6,6,9,0.333333333
9,17,24,31,30,42,0.214285714
11,13,29,27,35,48,0.229166667
2,0,2,1,2,3,0.666666667
3,2,16,12,11,18,0.166666667
24,20,68,66,60,100,0.24
1,0,0,1,1,1,0.5
25,20,62,63,55,88,0.284090909
1,0,1,0,1,1,0.5
1,0,0,1,1,1,0.5
1,0,1,0,1,1,0.5
4,1,5,6,4,8,0.5
1,0,0,0,1,1,0.5
4,2,7,9,6,10,0.4
1,0,1,0,1,1,0.5
1,0,0,1,0,1,0.5
7,7,24,23,22,33,0.212121212
1,0,1,1,1,1,0.5
2,1,3,2,3,4,0.5
2,1,1,2,2,3,0.666666667
6,13,30,29,36,45,0.133333333
8,2,9,7,10,12,0.666666667
1,0,0,1,0,1,0.5
2,0,3,2,2,3,0.666666667
6,11,17,21,22,31,0.193548387
10,17,41,35,37,61,0.163934426
7,6,7,9,11,15,0.466666667
8,3,14,12,13,22,0.363636364
1,0,0,1,1,1,0.5
27,23,75,59,68,100,0.27
7,6,12,13,10,20,0.35
9,3,18,19,18,27,0.333333333
6,12,25,24,31,40,0.15
3,1,6,7,3,9,0.333333333
1,0,0,0,0,1,0.5
8,3,12,11,12,16,0.5
13,13,28,28,30,47,0.276595745
9,15,32,30,30,51,0.176470588
6,9,10,15,17,23,0.260869565
6,1,12,12,11,14,0.428571429
10,12,17,24,22,35,0.285714286
7,7,18,21,16,26,0.269230769
4,9,7,11,12,17,0.235294118
3,1,1,2,4,4,0.75
4,5,9,9,10,15,0.266666667
1,0,1,0,0,1,0.5
3,0,2,3,2,4,0.75
1,0,1,0,1,1,0.5
1,0,1,1,0,1,0.5
2,0,1,1,1,2,0.5
1,0,1,1,1,1,0.5
1,0,1,1,1,1,0.5
9,10,23,18,20,35,0.257142857
3,5,9,11,12,15,0.2
22,19,45,52,44,69,0.31884058
1,0,0,1,1,1,0.5
6,8,24,26,25,34,0.176470588
6,5,14,15,13,20,0.3
7,9,14,15,19,26,0.269230769
11,8,20,26,20,34,0.323529412
2,3,7,7,7,10,0.2
6,4,6,10,8,13,0.461538462
3,1,9,7,9,10,0.3
1,0,1,0,0,1,0.5
8,9,19,18,17,32,0.25
2,0,2,1,2,2,0.5
9,18,34,32,43,55,0.163636364
2,2,5,5,3,8,0.25
2,0,1,1,0,2,0.5
4,5,8,7,9,13,0.307692308
16,21,55,57,55,83,0.192771084
8,6,14,14,15,22,0.363636364
11,6,29,26,29,38,0.289473684
10,12,23,27,27,40,0.25
3,3,4,6,7,8,0.375
5,1,6,6,5,9,0.555555556
2,5,3,7,9,10,0.2
20,21,41,39,53,66,0.303030303
5,1,8,6,5,11,0.454545455
1,0,0,1,0,1,0.5
25,21,54,50,55,84,0.297619048
1,0,1,1,1,1,0.5
1,0,1,1,0,1,0.5
6,5,15,16,12,23,0.260869565
9,11,37,36,39,52,0.173076923
1,0,1,1,1,1,0.5
1,0,0,1,0,1,0.5
1,0,1,0,1,1,0.5
8,16,31,28,34,49,0.163265306
3,0,4,2,4,6,0.5
15,20,49,49,47,77,0.194805195
10,12,28,26,25,41,0.243902439
3,1,4,4,4,6,0.5
2,3,4,6,4,7,0.285714286
1,0,1,1,0,1,0.5
3,1,3,4,5,6,0.5
5,4,17,14,14,22,0.227272727
1,0,1,1,0,1,0.5
12,13,35,35,37,53,0.226415094
3,0,12,7,8,12,0.25
2,0,1,0,1,2,0.5
7,4,16,14,9,22,0.318181818
6,11,8,15,16,20,0.3
4,6,16,14,15,22,0.181818182
1,0,0,1,1,1,0.5
2,2,12,9,11,14,0.142857143
1,0,1,1,1,1,0.5
1,0,0,1,1,1,0.5
1,0,1,1,1,1,0.5
3,3,11,10,10,15,0.2
2,1,1,2,3,3,0.666666667
6,10,27,22,25,38,0.157894737
1,0,1,1,0,1,0.5
6,0,6,6,4,9,0.666666667
3,2,9,7,5,11,0.272727273
6,2,12,10,9,16,0.375
2,0,1,2,1,2,0.5
6,4,15,14,14,21,0.285714286
10,5,11,12,10,20,0.5
1,0,0,1,1,1,0.5
4,1,6,4,4,7,0.571428571
2,1,4,5,4,6,0.333333333
4,1,4,5,6,7,0.571428571
9,11,27,30,26,42,0.214285714
7,4,13,14,12,18,0.388888889
2,3,6,9,3,10,0.2
2,1,2,2,1,3,0.666666667
7,9,17,17,21,29,0.24137931
4,4,14,15,16,21,0.19047619
7,5,11,14,9,18,0.388888889
7,13,22,25,30,37,0.189189189
8,13,17,26,26,33,0.242424242
2,0,2,1,1,2,0.5
2,4,4,5,5,8,0.25
1,0,0,1,1,1,0.5
10,11,24,21,14,38,0.263157895
3,2,6,6,5,8,0.375
4,6,12,13,12,20,0.2
2,0,2,2,2,2,0.5
2,2,6,6,3,8,0.25
1,0,0,1,1,1,0.5
4,2,7,7,8,10,0.4
3,3,10,7,8,13,0.230769231
8,12,37,29,23,51,0.156862745
10,14,35,44,39,55,0.181818182
1,0,1,1,1,1,0.5
1,0,1,0,0,1,0.5
1,0,0,1,0,1,0.5
1,0,1,0,1,1,0.5
1,0,1,1,1,1,0.5
1,0,0,1,0,1,0.5
6,6,17,16,16,26,0.230769231
1,0,1,1,1,1,0.5
2,3,4,3,5,9,0.222222222
18,24,52,50,57,83,0.21686747
4,3,6,4,8,10,0.4
11,2,17,15,18,27,0.407407407
13,6,41,26,31,53,0.245283019
2,0,3,2,0,3,0.666666667
9,12,24,28,27,40,0.225
6,3,7,7,7,12,0.5
4,4,9,10,7,14,0.285714286
4,1,6,6,5,8,0.5
4,5,16,10,12,22,0.181818182
2,0,3,0,2,3,0.666666667
15,15,23,31,30,46,0.326086957
2,0,2,0,2,3,0.666666667
9,4,14,16,15,24,0.375
3,7,8,12,12,17,0.176470588
12,15,19,22,25,39,0.307692308
6,6,20,14,18,27,0.222222222
17,16,35,36,37,56,0.303571429
5,1,9,6,8,12,0.416666667
3,1,4,1,3,5,0.6
5,4,10,11,11,17,0.294117647
6,3,20,13,17,24,0.25
13,17,46,40,40,67,0.194029851
2,9,7,10,9,17,0.117647059
11,14,46,36,46,64,0.171875
2,1,4,2,3,5,0.4
9,8,31,26,21,41,0.219512195
21,19,68,70,62,94,0.223404255
1,0,1,1,1,1,0.5
2,0,1,2,2,2,0.5
11,20,40,35,38,66,0.166666667
5,4,14,12,11,19,0.263157895
3,4,2,2,5,9,0.333333333
2,2,4,2,5,6,0.333333333
5,0,16,9,8,17,0.294117647
13,11,34,34,35,49,0.265306122
1,0,1,0,1,1,0.5
6,4,11,10,9,17,0.352941176
8,6,21,20,20,30,0.266666667
1,0,1,1,1,1,0.5
3,1,6,4,5,7,0.428571429
15,11,33,32,29,53,0.283018868
1,0,1,1,0,1,0.5
4,3,13,8,11,17,0.235294118
5,7,15,19,16,24,0.208333333
5,12,24,19,19,36,0.138888889
3,2,6,6,7,9,0.333333333
2,1,3,2,2,5,0.4
12,8,23,26,26,37,0.324324324
25,35,56,62,62,100,0.25
5,4,14,11,13,21,0.238095238
2,0,1,1,2,2,0.5
9,9,28,22,22,40,0.225
2,1,5,1,4,6,0.333333333
16,27,45,53,50,77,0.207792208
4,4,11,10,9,16,0.25
11,25,36,45,40,64,0.171875
6,4,13,18,14,22,0.272727273
2,0,4,2,1,4,0.5
6,9,24,22,23,35,0.171428571
3,4,3,6,2,9,0.333333333
7,9,22,21,27,34,0.205882353
5,9,17,17,17,28,0.178571429
3,4,9,7,11,15,0.2
1,0,1,1,0,1,0.5
1,0,1,0,1,1,0.5
10,11,31,33,29,44,0.227272727
9,4,18,14,20,24,0.375
3,10,18,21,18,28,0.107142857
4,2,13,10,10,17,0.235294118
3,2,4,3,3,6,0.5
3,3,18,12,13,22,0.136363636
9,7,23,17,22,32,0.28125
3,0,5,4,3,6,0.5
7,6,12,12,12,21,0.333333333
3,2,10,10,10,13,0.230769231
1,0,1,0,1,1,0.5
4,1,10,9,7,11,0.363636364
8,5,16,14,15,22,0.363636364
4,1,8,10,5,11,0.363636364
3,2,1,4,4,5,0.6
2,4,4,6,4,9,0.222222222
10,7,20,19,17,30,0.333333333
1,0,1,1,0,1,0.5
7,5,24,20,18,32,0.21875
3,0,4,3,3,5,0.6
9,4,15,17,21,24,0.375
4,2,5,4,5,8,0.5
3,6,8,14,11,16,0.1875
10,11,26,29,30,40,0.25
22,21,70,55,65,100,0.22
11,11,23,30,23,38,0.289473684
1,0,1,1,1,1,0.5
2,0,2,1,1,3,0.666666667
11,11,19,18,18,34,0.323529412
4,1,15,9,10,16,0.25
8,11,26,26,25,41,0.195121951
6,5,10,14,12,18,0.333333333
29,27,62,67,57,100,0.29
1,0,0,1,1,1,0.5
2,3,5,7,5,8,0.25
2,0,3,3,1,3,0.666666667
7,5,10,12,7,18,0.388888889
4,6,11,12,10,17,0.235294118
4,7,23,15,22,31,0.129032258
2,0,0,1,0,2,0.5
1,0,1,1,1,1,0.5
4,1,5,5,6,7,0.571428571
6,9,16,18,18,27,0.222222222
5,4,14,8,12,18,0.277777778
1,0,1,1,1,1,0.5
3,0,2,2,2,3,0.5
4,4,6,10,8,12,0.333333333
2,1,1,2,1,3,0.666666667
2,1,2,3,2,4,0.5
4,4,6,5,7,11,0.363636364
6,5,12,11,8,19,0.315789474
6,5,15,14,12,21,0.285714286
6,5,7,10,10,15,0.4
2,0,3,3,2,3,0.666666667
1,0,1,0,0,1,0.5
2,0,1,2,1,2,0.5
1,0,1,0,1,1,0.5
6,4,8,11,10,14,0.428571429
2,0,0,1,1,2,0.5
5,6,10,10,10,16,0.3125
5,2,7,6,6,12,0.416666667
6,3,16,16,9,21,0.285714286
1,0,1,1,0,1,0.5
12,12,20,26,25,37,0.324324324
3,4,3,6,3,10,0.3
1,0,1,0,1,1,0.5
4,3,9,10,5,13,0.307692308
2,0,1,2,2,3,0.666666667
1,0,1,1,1,1,0.5
7,5,16,17,19,24,0.291666667
9,9,26,25,21,40,0.225
1,0,1,0,1,1,0.5
10,11,29,27,29,44,0.227272727
1,0,0,1,0,1,0.5
1,0,1,1,1,1,0.5
1,0,1,1,1,1,0.5
3,3,8,9,10,14,0.214285714
4,0,8,6,4,8,0.5
2,5,5,6,5,10,0.2
8,5,17,18,15,23,0.347826087
27,25,49,54,57,88,0.306818182
10,13,34,33,33,49,0.204081633
2,1,2,2,2,4,0.5
1,0,1,1,1,1,0.5
8,7,17,18,14,28,0.285714286
2,0,3,4,0,4,0.5
8,3,13,10,8,18,0.444444444
2,11,14,17,13,26,0.076923077
4,1,8,10,7,11,0.363636364
1,0,1,0,1,1,0.5
3,2,3,5,5,6,0.5
4,2,7,7,8,11,0.363636364
10,10,39,31,27,50,0.2
7,1,7,6,8,11,0.636363636
7,8,14,16,13,23,0.304347826
2,1,6,4,5,7,0.285714286
2,0,2,2,0,2,0.5
3,1,3,5,4,5,0.6
1,0,1,0,1,1,0.5
1,0,1,1,0,1,0.5
1,0,0,0,0,1,0.5
10,12,30,27,28,48,0.208333333
22,17,47,45,47,73,0.301369863
4,1,13,11,11,17,0.235294118
8,4,25,22,16,31,0.258064516
3,6,6,10,6,12,0.25
10,10,18,21,18,30,0.333333333
3,2,7,7,5,9,0.333333333
3,4,13,13,10,18,0.166666667
2,0,1,1,2,2,0.5
11,20,31,36,36,56,0.196428571
1,0,1,0,0,1,0.5
1,0,1,1,1,1,0.5
2,1,3,2,3,5,0.4
4,7,23,17,20,31,0.129032258
16,24,43,47,47,75,0.213333333
11,15,27,29,28,46,0.239130435
1,0,1,1,1,1,0.5
2,0,2,2,0,2,0.5
3,0,2,5,2,5,0.6
12,10,37,37,32,52,0.230769231
10,14,32,34,36,49,0.204081633
3,3,2,3,4,6,0.5
8,18,27,30,35,49,0.163265306
1,0,1,0,1,1,0.5
7,9,21,25,29,35,0.2
3,3,5,5,4,9,0.333333333
2,3,7,7,7,10,0.2
5,0,9,8,4,10,0.5
2,1,4,3,3,5,0.4
2,0,5,4,2,5,0.4
2,0,0,1,2,2,0.5
1,0,1,1,1,1,0.5
3,3,5,6,6,9,0.333333333
1,0,0,1,0,1,0.5
9,5,29,21,24,37,0.243243243
1,0,1,1,1,1,0.5
5,9,21,27,20,33,0.151515152
6,7,18,19,11,26,0.230769231
3,2,5,6,5,8,0.375
5,2,5,6,4,9,0.555555556
1,0,1,1,0,1,0.5
4,2,4,6,4,8,0.5
3,2,5,7,7,10,0.3
2,0,2,0,2,2,0.5
1,0,1,1,0,1,0.5
6,12,25,23,22,40,0.15
6,6,6,11,8,14,0.428571429
15,11,30,30,30,49,0.306122449
2,3,3,5,2,7,0.285714286
2,0,2,2,1,2,0.5
4,3,10,8,11,15,0.266666667
8,4,11,15,11,20,0.4
3,7,9,8,13,16,0.1875
4,1,9,7,10,12,0.333333333
3,5,5,6,10,13,0.230769231
4,4,12,11,12,16,0.25
1,0,1,0,1,1,0.5
11,6,13,19,23,27,0.407407407
2,1,2,2,4,4,0.5
1,0,1,1,0,1,0.5
1,0,0,1,1,1,0.5
9,7,18,15,20,27,0.333333333
1,0,1,1,0,1,0.5
5,9,18,19,20,31,0.161290323
3,2,2,3,6,6,0.5
7,2,12,6,9,16,0.4375
8,16,30,37,36,48,0.166666667
2,0,3,1,2,3,0.666666667
4,2,9,8,11,11,0.363636364
9,9,19,19,18,31,0.290322581
1,0,0,1,0,1,0.5
1,0,1,1,1,1,0.5
